StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,61.2,None
2,1,1,61.2,76.2,0.9985239844353391
3,1,2,76.2,inf,0.9993148337667671
4,2,0,-inf,inf,None
5,3,0,-inf,inf,None
6,4,0,-inf,24.0,None
7,4,1,24.0,29.0,0.0
8,4,2,29.0,inf,0.0
9,5,0,-inf,inf,None
10,6,0,-inf,21.5,None
11,6,1,21.5,29.0,0.0
12,6,2,29.0,inf,0.0
13,39,0,-inf,7.05,None
14,39,1,7.05,8.05,0.9996705672493992
15,39,2,8.05,inf,0.9999589003116934
16,40,0,-inf,128.0,None
17,40,1,128.0,142.5,0.9944579850376795
18,40,2,142.5,inf,0.9950371902099893
19,41,0,-inf,169.5,None
20,41,1,169.5,238.5,0.9980561083961147
21,41,2,238.5,inf,0.9957662141379766
22,42,0,-inf,161.5,None
23,42,1,161.5,246.5,0.9993659826224256
24,42,2,246.5,inf,0.9996772883196268
25,43,0,-inf,4.0,None
26,43,1,4.0,4.800000000000001,0.9991951227131366
27,43,2,4.800000000000001,inf,0.983254033886129
28,44,0,-inf,0.935,None
29,44,1,0.935,1.15,0.9998201778812378
30,44,2,1.15,inf,0.9989408719334634
31,55,0,-inf,0.5,None
32,55,1,0.5,inf,0.7071067811865475
